chi2,comparison,dof,excluded_long_wavelength_bins,linear_chi2,linear_dof,linear_p,mean,n,p,slope_error,slope_ppm_per_micron,wavelength_max_micron,wavelength_min_micron
619.1990067892451,phase 0.00,10,3,59.304155568030055,9,1.8252239061472428e-09,1639.3363726652246,11,1.3528915623308809e-126,17.262492927775362,408.4667882410801,10.25,5.25
1168.9268195358206,phase 0.25,10,3,96.34100143993734,9,8.628605241836405e-17,3799.6551202689966,11,7.25373477804186e-245,14.988109147873786,490.86591035266326,10.25,5.25
1634.1443267258153,phase 0.50,10,3,179.40123650988613,9,6.756807464055371e-34,5608.339973756881,11,0.0,13.031158260898517,497.0226387687094,10.25,5.25
896.0281188812085,phase 0.75,10,3,73.84737215464656,9,2.6677423435047188e-12,3152.56867550664,11,4.558349809413847e-186,15.595329801976918,447.17571977080536,10.25,5.25
