reduction,wavelength_min_micron,wavelength_max_micron,n_wavelength_bins,aggregation_rule,error_rule,offset_deg,formal_error_deg,semi_amplitude_ppm,chi_square,dof
fiducial,6.25,10.25,9,trapezoid,maximum,-9.29062294669164,0.5128226265379574,2169.920713362835,70.9553969745254,1
fiducial,6.25,10.25,9,uniform,mean,-9.400370594517565,0.517296374364431,2174.8727224442882,68.93190153088568,1
fiducial,6.25,10.25,9,uniform,maximum,-9.400370594517565,0.517296374364431,2174.8727224442882,68.93190153088568,1
fiducial,6.25,10.25,9,inverse_variance,mean,-8.85423297435314,0.5071872347302921,2059.407711132015,19.856675217315342,1
fiducial,6.25,10.25,9,inverse_variance,maximum,-8.85423297435314,0.5071872347302921,2059.407711132015,19.856675217315342,1
eureka_v1,5.25,8.25,7,trapezoid,mean,-8.580870486637846,0.5215346461959456,2115.4543830079206,101.5053301231786,1
eureka_v1,5.25,8.25,7,trapezoid,maximum,-8.535876396308943,0.5313108803930753,2116.4464959447337,97.81962220151333,1
eureka_v1,5.25,8.25,7,uniform,mean,-8.576750457839498,0.5189351185248237,2104.0176349422723,100.18487755442752,1
eureka_v1,5.25,8.25,7,uniform,maximum,-8.554061644565255,0.5283256306682134,2105.4751723108184,96.37133421950769,1
eureka_v1,5.25,8.25,7,inverse_variance,mean,-8.774489717077856,0.501352432947205,2097.7171302263564,117.47764547397375,1
eureka_v1,5.25,8.25,7,inverse_variance,maximum,-8.63429742959596,0.5124311708040707,2096.2997302132203,108.5036075149009,1
eureka_v1,5.25,8.75,8,trapezoid,mean,-8.737003541378755,0.5029504384330998,2114.8112391495442,96.46146835245068,1
eureka_v1,5.25,8.75,8,trapezoid,maximum,-8.719197311913874,0.5123564480295606,2116.1561037033425,92.91867852957924,1
eureka_v1,5.25,8.75,8,uniform,mean,-8.829789216131434,0.4935889448934043,2102.8219882724866,98.14189619027155,1
eureka_v1,5.25,8.75,8,uniform,maximum,-8.808917534310158,0.5016330428910543,2104.5147633089737,94.40385010357234,1
eureka_v1,5.25,8.75,8,inverse_variance,mean,-9.099729129520377,0.48162071060321576,2075.350032227213,106.30161071764537,1
eureka_v1,5.25,8.75,8,inverse_variance,maximum,-8.95555522677547,0.4924135088546242,2074.720185320212,97.35905653248714,1
